model1,model2,cohens_d,t,p
gpt-4o,gpt-3.5-turbo-1106,1.16,5.78,8.88e-08
gpt-4o,gpt-4-turbo-preview,-0.08,-0.40,6.87e-01
gpt-4o,gpt-4-0613,0.31,1.57,1.20e-01
gpt-4o,gpt-3.5-turbo,0.82,4.08,9.27e-05
gpt-3.5-turbo-1106,gpt-4o,-1.16,-5.78,8.88e-08
gpt-3.5-turbo-1106,gpt-4-turbo-preview,-1.31,-6.54,2.81e-09
gpt-3.5-turbo-1106,gpt-4-0613,-0.95,-4.75,7.01e-06
gpt-3.5-turbo-1106,gpt-3.5-turbo,-0.71,-3.56,5.74e-04
gpt-4-turbo-preview,gpt-4o,0.08,0.40,6.87e-01
gpt-4-turbo-preview,gpt-3.5-turbo-1106,1.31,6.54,2.81e-09
gpt-4-turbo-preview,gpt-4-0613,0.45,2.26,2.63e-02
gpt-4-turbo-preview,gpt-3.5-turbo,1.12,5.62,1.79e-07
gpt-4-0613,gpt-4o,-0.31,-1.57,1.20e-01
gpt-4-0613,gpt-3.5-turbo-1106,0.95,4.75,7.01e-06
gpt-4-0613,gpt-4-turbo-preview,-0.45,-2.26,2.63e-02
gpt-4-0613,gpt-3.5-turbo,0.48,2.41,1.76e-02
gpt-3.5-turbo,gpt-4o,-0.82,-4.08,9.27e-05
gpt-3.5-turbo,gpt-3.5-turbo-1106,0.71,3.56,5.74e-04
gpt-3.5-turbo,gpt-4-turbo-preview,-1.12,-5.62,1.79e-07
gpt-3.5-turbo,gpt-4-0613,-0.48,-2.41,1.76e-02
gpt-4o,gpt-3.5-turbo-1106,1.16,5.78,8.88e-08
gpt-4o,gpt-4-turbo-preview,-0.08,-0.40,6.87e-01
gpt-4o,gpt-4-0613,0.31,1.57,1.20e-01
gpt-4o,gpt-3.5-turbo,0.82,4.08,9.27e-05
gpt-3.5-turbo-1106,gpt-4o,-1.16,-5.78,8.88e-08
gpt-3.5-turbo-1106,gpt-4-turbo-preview,-1.31,-6.54,2.81e-09
gpt-3.5-turbo-1106,gpt-4-0613,-0.95,-4.75,7.01e-06
gpt-3.5-turbo-1106,gpt-3.5-turbo,-0.71,-3.56,5.74e-04
gpt-4-turbo-preview,gpt-4o,0.08,0.40,6.87e-01
gpt-4-turbo-preview,gpt-3.5-turbo-1106,1.31,6.54,2.81e-09
gpt-4-turbo-preview,gpt-4-0613,0.45,2.26,2.63e-02
gpt-4-turbo-preview,gpt-3.5-turbo,1.12,5.62,1.79e-07
gpt-4-0613,gpt-4o,-0.31,-1.57,1.20e-01
gpt-4-0613,gpt-3.5-turbo-1106,0.95,4.75,7.01e-06
gpt-4-0613,gpt-4-turbo-preview,-0.45,-2.26,2.63e-02
gpt-4-0613,gpt-3.5-turbo,0.48,2.41,1.76e-02
gpt-3.5-turbo,gpt-4o,-0.82,-4.08,9.27e-05
gpt-3.5-turbo,gpt-3.5-turbo-1106,0.71,3.56,5.74e-04
gpt-3.5-turbo,gpt-4-turbo-preview,-1.12,-5.62,1.79e-07
gpt-3.5-turbo,gpt-4-0613,-0.48,-2.41,1.76e-02
gpt-4o,gpt-3.5-turbo-1106,1.16,5.78,8.88e-08
gpt-4o,gpt-4-turbo-preview,-0.08,-0.40,6.87e-01
gpt-4o,gpt-4-0613,0.31,1.57,1.20e-01
gpt-4o,gpt-3.5-turbo,0.82,4.08,9.27e-05
gpt-3.5-turbo-1106,gpt-4o,-1.16,-5.78,8.88e-08
gpt-3.5-turbo-1106,gpt-4-turbo-preview,-1.31,-6.54,2.81e-09
gpt-3.5-turbo-1106,gpt-4-0613,-0.95,-4.75,7.01e-06
gpt-3.5-turbo-1106,gpt-3.5-turbo,-0.71,-3.56,5.74e-04
gpt-4-turbo-preview,gpt-4o,0.08,0.40,6.87e-01
gpt-4-turbo-preview,gpt-3.5-turbo-1106,1.31,6.54,2.81e-09
gpt-4-turbo-preview,gpt-4-0613,0.45,2.26,2.63e-02
gpt-4-turbo-preview,gpt-3.5-turbo,1.12,5.62,1.79e-07
gpt-4-0613,gpt-4o,-0.31,-1.57,1.20e-01
gpt-4-0613,gpt-3.5-turbo-1106,0.95,4.75,7.01e-06
gpt-4-0613,gpt-4-turbo-preview,-0.45,-2.26,2.63e-02
gpt-4-0613,gpt-3.5-turbo,0.48,2.41,1.76e-02
gpt-3.5-turbo,gpt-4o,-0.82,-4.08,9.27e-05
gpt-3.5-turbo,gpt-3.5-turbo-1106,0.71,3.56,5.74e-04
gpt-3.5-turbo,gpt-4-turbo-preview,-1.12,-5.62,1.79e-07
gpt-3.5-turbo,gpt-4-0613,-0.48,-2.41,1.76e-02
gpt-4o,gpt-3.5-turbo-1106,1.16,5.78,8.88e-08
gpt-4o,gpt-4-turbo-preview,-0.08,-0.40,6.87e-01
gpt-4o,gpt-4-0613,0.31,1.57,1.20e-01
gpt-4o,gpt-3.5-turbo,0.82,4.08,9.27e-05
gpt-3.5-turbo-1106,gpt-4o,-1.16,-5.78,8.88e-08
gpt-3.5-turbo-1106,gpt-4-turbo-preview,-1.31,-6.54,2.81e-09
gpt-3.5-turbo-1106,gpt-4-0613,-0.95,-4.75,7.01e-06
gpt-3.5-turbo-1106,gpt-3.5-turbo,-0.71,-3.56,5.74e-04
gpt-4-turbo-preview,gpt-4o,0.08,0.40,6.87e-01
gpt-4-turbo-preview,gpt-3.5-turbo-1106,1.31,6.54,2.81e-09
gpt-4-turbo-preview,gpt-4-0613,0.45,2.26,2.63e-02
gpt-4-turbo-preview,gpt-3.5-turbo,1.12,5.62,1.79e-07
gpt-4-0613,gpt-4o,-0.31,-1.57,1.20e-01
gpt-4-0613,gpt-3.5-turbo-1106,0.95,4.75,7.01e-06
gpt-4-0613,gpt-4-turbo-preview,-0.45,-2.26,2.63e-02
gpt-4-0613,gpt-3.5-turbo,0.48,2.41,1.76e-02
gpt-3.5-turbo,gpt-4o,-0.82,-4.08,9.27e-05
gpt-3.5-turbo,gpt-3.5-turbo-1106,0.71,3.56,5.74e-04
gpt-3.5-turbo,gpt-4-turbo-preview,-1.12,-5.62,1.79e-07
gpt-3.5-turbo,gpt-4-0613,-0.48,-2.41,1.76e-02
gpt-4o,gpt-3.5-turbo-1106,1.16,5.78,8.88e-08
gpt-4o,gpt-4-turbo-preview,-0.08,-0.40,6.87e-01
gpt-4o,gpt-4-0613,0.31,1.57,1.20e-01
gpt-4o,gpt-3.5-turbo,0.82,4.08,9.27e-05
gpt-3.5-turbo-1106,gpt-4o,-1.16,-5.78,8.88e-08
gpt-3.5-turbo-1106,gpt-4-turbo-preview,-1.31,-6.54,2.81e-09
gpt-3.5-turbo-1106,gpt-4-0613,-0.95,-4.75,7.01e-06
gpt-3.5-turbo-1106,gpt-3.5-turbo,-0.71,-3.56,5.74e-04
gpt-4-turbo-preview,gpt-4o,0.08,0.40,6.87e-01
gpt-4-turbo-preview,gpt-3.5-turbo-1106,1.31,6.54,2.81e-09
gpt-4-turbo-preview,gpt-4-0613,0.45,2.26,2.63e-02
gpt-4-turbo-preview,gpt-3.5-turbo,1.12,5.62,1.79e-07
gpt-4-0613,gpt-4o,-0.31,-1.57,1.20e-01
gpt-4-0613,gpt-3.5-turbo-1106,0.95,4.75,7.01e-06
gpt-4-0613,gpt-4-turbo-preview,-0.45,-2.26,2.63e-02
gpt-4-0613,gpt-3.5-turbo,0.48,2.41,1.76e-02
gpt-3.5-turbo,gpt-4o,-0.82,-4.08,9.27e-05
gpt-3.5-turbo,gpt-3.5-turbo-1106,0.71,3.56,5.74e-04
gpt-3.5-turbo,gpt-4-turbo-preview,-1.12,-5.62,1.79e-07
gpt-3.5-turbo,gpt-4-0613,-0.48,-2.41,1.76e-02
gpt-4o,gpt-3.5-turbo-1106,1.16,5.78,8.88e-08
gpt-4o,gpt-4-turbo-preview,-0.08,-0.40,6.87e-01
gpt-4o,gpt-4-0613,0.31,1.57,1.20e-01
gpt-4o,gpt-3.5-turbo,0.82,4.08,9.27e-05
gpt-3.5-turbo-1106,gpt-4o,-1.16,-5.78,8.88e-08
gpt-3.5-turbo-1106,gpt-4-turbo-preview,-1.31,-6.54,2.81e-09
gpt-3.5-turbo-1106,gpt-4-0613,-0.95,-4.75,7.01e-06
gpt-3.5-turbo-1106,gpt-3.5-turbo,-0.71,-3.56,5.74e-04
gpt-4-turbo-preview,gpt-4o,0.08,0.40,6.87e-01
gpt-4-turbo-preview,gpt-3.5-turbo-1106,1.31,6.54,2.81e-09
gpt-4-turbo-preview,gpt-4-0613,0.45,2.26,2.63e-02
gpt-4-turbo-preview,gpt-3.5-turbo,1.12,5.62,1.79e-07
gpt-4-0613,gpt-4o,-0.31,-1.57,1.20e-01
gpt-4-0613,gpt-3.5-turbo-1106,0.95,4.75,7.01e-06
gpt-4-0613,gpt-4-turbo-preview,-0.45,-2.26,2.63e-02
gpt-4-0613,gpt-3.5-turbo,0.48,2.41,1.76e-02
gpt-3.5-turbo,gpt-4o,-0.82,-4.08,9.27e-05
gpt-3.5-turbo,gpt-3.5-turbo-1106,0.71,3.56,5.74e-04
gpt-3.5-turbo,gpt-4-turbo-preview,-1.12,-5.62,1.79e-07
gpt-3.5-turbo,gpt-4-0613,-0.48,-2.41,1.76e-02
gpt-4o,gpt-3.5-turbo-1106,1.16,5.78,8.88e-08
gpt-4o,gpt-4-turbo-preview,-0.08,-0.40,6.87e-01
gpt-4o,gpt-4-0613,0.31,1.57,1.20e-01
gpt-4o,gpt-3.5-turbo,0.82,4.08,9.27e-05
gpt-3.5-turbo-1106,gpt-4o,-1.16,-5.78,8.88e-08
gpt-3.5-turbo-1106,gpt-4-turbo-preview,-1.31,-6.54,2.81e-09
gpt-3.5-turbo-1106,gpt-4-0613,-0.95,-4.75,7.01e-06
gpt-3.5-turbo-1106,gpt-3.5-turbo,-0.71,-3.56,5.74e-04
gpt-4-turbo-preview,gpt-4o,0.08,0.40,6.87e-01
gpt-4-turbo-preview,gpt-3.5-turbo-1106,1.31,6.54,2.81e-09
gpt-4-turbo-preview,gpt-4-0613,0.45,2.26,2.63e-02
gpt-4-turbo-preview,gpt-3.5-turbo,1.12,5.62,1.79e-07
gpt-4-0613,gpt-4o,-0.31,-1.57,1.20e-01
gpt-4-0613,gpt-3.5-turbo-1106,0.95,4.75,7.01e-06
gpt-4-0613,gpt-4-turbo-preview,-0.45,-2.26,2.63e-02
gpt-4-0613,gpt-3.5-turbo,0.48,2.41,1.76e-02
gpt-3.5-turbo,gpt-4o,-0.82,-4.08,9.27e-05
gpt-3.5-turbo,gpt-3.5-turbo-1106,0.71,3.56,5.74e-04
gpt-3.5-turbo,gpt-4-turbo-preview,-1.12,-5.62,1.79e-07
gpt-3.5-turbo,gpt-4-0613,-0.48,-2.41,1.76e-02
gpt-4o,gpt-3.5-turbo-1106,1.16,5.78,8.88e-08
gpt-4o,gpt-4-turbo-preview,-0.08,-0.40,6.87e-01
gpt-4o,gpt-4-0613,0.31,1.57,1.20e-01
gpt-4o,gpt-3.5-turbo,0.82,4.08,9.27e-05
gpt-3.5-turbo-1106,gpt-4o,-1.16,-5.78,8.88e-08
gpt-3.5-turbo-1106,gpt-4-turbo-preview,-1.31,-6.54,2.81e-09
gpt-3.5-turbo-1106,gpt-4-0613,-0.95,-4.75,7.01e-06
gpt-3.5-turbo-1106,gpt-3.5-turbo,-0.71,-3.56,5.74e-04
gpt-4-turbo-preview,gpt-4o,0.08,0.40,6.87e-01
gpt-4-turbo-preview,gpt-3.5-turbo-1106,1.31,6.54,2.81e-09
gpt-4-turbo-preview,gpt-4-0613,0.45,2.26,2.63e-02
gpt-4-turbo-preview,gpt-3.5-turbo,1.12,5.62,1.79e-07
gpt-4-0613,gpt-4o,-0.31,-1.57,1.20e-01
gpt-4-0613,gpt-3.5-turbo-1106,0.95,4.75,7.01e-06
gpt-4-0613,gpt-4-turbo-preview,-0.45,-2.26,2.63e-02
gpt-4-0613,gpt-3.5-turbo,0.48,2.41,1.76e-02
gpt-3.5-turbo,gpt-4o,-0.82,-4.08,9.27e-05
gpt-3.5-turbo,gpt-3.5-turbo-1106,0.71,3.56,5.74e-04
gpt-3.5-turbo,gpt-4-turbo-preview,-1.12,-5.62,1.79e-07
gpt-3.5-turbo,gpt-4-0613,-0.48,-2.41,1.76e-02
gpt-4o,gpt-3.5-turbo-1106,1.16,5.78,8.88e-08
gpt-4o,gpt-4-turbo-preview,-0.08,-0.40,6.87e-01
gpt-4o,gpt-4-0613,0.31,1.57,1.20e-01
gpt-4o,gpt-3.5-turbo,0.82,4.08,9.27e-05
gpt-3.5-turbo-1106,gpt-4o,-1.16,-5.78,8.88e-08
gpt-3.5-turbo-1106,gpt-4-turbo-preview,-1.31,-6.54,2.81e-09
gpt-3.5-turbo-1106,gpt-4-0613,-0.95,-4.75,7.01e-06
gpt-3.5-turbo-1106,gpt-3.5-turbo,-0.71,-3.56,5.74e-04
gpt-4-turbo-preview,gpt-4o,0.08,0.40,6.87e-01
gpt-4-turbo-preview,gpt-3.5-turbo-1106,1.31,6.54,2.81e-09
gpt-4-turbo-preview,gpt-4-0613,0.45,2.26,2.63e-02
gpt-4-turbo-preview,gpt-3.5-turbo,1.12,5.62,1.79e-07
gpt-4-0613,gpt-4o,-0.31,-1.57,1.20e-01
gpt-4-0613,gpt-3.5-turbo-1106,0.95,4.75,7.01e-06
gpt-4-0613,gpt-4-turbo-preview,-0.45,-2.26,2.63e-02
gpt-4-0613,gpt-3.5-turbo,0.48,2.41,1.76e-02
gpt-3.5-turbo,gpt-4o,-0.82,-4.08,9.27e-05
gpt-3.5-turbo,gpt-3.5-turbo-1106,0.71,3.56,5.74e-04
gpt-3.5-turbo,gpt-4-turbo-preview,-1.12,-5.62,1.79e-07
gpt-3.5-turbo,gpt-4-0613,-0.48,-2.41,1.76e-02
gpt-4o,gpt-3.5-turbo-1106,1.16,5.78,8.88e-08
gpt-4o,gpt-4-turbo-preview,-0.08,-0.40,6.87e-01
gpt-4o,gpt-4-0613,0.31,1.57,1.20e-01
gpt-4o,gpt-3.5-turbo,0.82,4.08,9.27e-05
gpt-3.5-turbo-1106,gpt-4o,-1.16,-5.78,8.88e-08
gpt-3.5-turbo-1106,gpt-4-turbo-preview,-1.31,-6.54,2.81e-09
gpt-3.5-turbo-1106,gpt-4-0613,-0.95,-4.75,7.01e-06
gpt-3.5-turbo-1106,gpt-3.5-turbo,-0.71,-3.56,5.74e-04
gpt-4-turbo-preview,gpt-4o,0.08,0.40,6.87e-01
gpt-4-turbo-preview,gpt-3.5-turbo-1106,1.31,6.54,2.81e-09
gpt-4-turbo-preview,gpt-4-0613,0.45,2.26,2.63e-02
gpt-4-turbo-preview,gpt-3.5-turbo,1.12,5.62,1.79e-07
gpt-4-0613,gpt-4o,-0.31,-1.57,1.20e-01
gpt-4-0613,gpt-3.5-turbo-1106,0.95,4.75,7.01e-06
gpt-4-0613,gpt-4-turbo-preview,-0.45,-2.26,2.63e-02
gpt-4-0613,gpt-3.5-turbo,0.48,2.41,1.76e-02
gpt-3.5-turbo,gpt-4o,-0.82,-4.08,9.27e-05
gpt-3.5-turbo,gpt-3.5-turbo-1106,0.71,3.56,5.74e-04
gpt-3.5-turbo,gpt-4-turbo-preview,-1.12,-5.62,1.79e-07
gpt-3.5-turbo,gpt-4-0613,-0.48,-2.41,1.76e-02
